Draw Date,Draw 1,Draw 2,Draw 3,Draw 4,Draw 5,Draw 6,LPlay
11/1/2006,1,24,28,34,49,51,L
11/4/2006,5,7,23,24,36,48,L
11/8/2006,23,24,28,32,33,39,L
11/11/2006,15,29,40,50,52,53,L
11/15/2006,6,12,13,34,42,52,L
11/18/2006,5,11,28,37,39,48,L
11/22/2006,21,31,45,47,48,52,L
11/25/2006,10,11,12,35,41,52,L
11/29/2006,9,14,25,37,42,52,L
12/2/2006,21,22,23,40,48,53,L
12/6/2006,9,11,17,18,45,46,L
12/9/2006,1,18,25,33,39,43,L
12/13/2006,18,23,26,40,43,45,L
12/16/2006,1,6,32,38,41,53,L
12/20/2006,4,34,35,36,39,52,L
12/23/2006,4,10,28,35,44,49,L
12/27/2006,10,30,39,41,48,49,L
12/30/2006,8,14,15,16,18,26,L
1/3/2007,8,24,33,36,50,51,L
1/6/2007,12,19,20,29,36,49,L
1/10/2007,3,10,26,40,41,52,L
1/13/2007,16,24,28,37,46,47,L
1/17/2007,13,14,28,33,34,45,L
1/20/2007,5,11,19,32,36,45,L
1/24/2007,3,5,17,19,35,39,L
1/27/2007,21,27,28,38,42,49,L
1/31/2007,2,3,6,7,27,45,L
2/3/2007,15,19,33,46,47,51,L
2/7/2007,6,20,22,24,32,41,L
2/10/2007,10,11,18,24,26,35,L
2/14/2007,7,11,14,34,42,48,L
2/17/2007,11,18,20,24,27,51,L
2/21/2007,12,14,16,23,26,45,L
2/24/2007,4,10,23,36,40,48,L
2/28/2007,9,23,26,28,36,53,L
3/3/2007,1,3,13,25,31,39,L
3/7/2007,14,20,22,44,50,52,L
3/10/2007,19,22,29,36,48,50,L
3/14/2007,5,7,25,36,38,50,L
3/17/2007,6,13,26,29,32,45,L
3/21/2007,2,23,29,32,37,50,L
3/24/2007,3,8,10,30,42,47,L
3/28/2007,1,15,24,38,39,50,L
3/31/2007,15,22,28,37,42,49,L
4/4/2007,3,13,19,22,49,53,L
4/7/2007,6,9,21,29,40,52,L
4/11/2007,2,5,12,19,26,43,L
4/14/2007,7,20,33,34,37,40,L
4/18/2007,1,5,20,23,31,38,L
4/21/2007,10,17,20,21,22,35,L
4/25/2007,4,7,14,26,28,34,L
4/28/2007,1,8,22,46,47,50,L
5/2/2007,1,6,13,21,22,39,L
5/5/2007,14,23,28,50,52,53,L
5/9/2007,9,19,22,27,33,53,L
5/12/2007,14,18,19,24,37,46,L
5/16/2007,3,16,23,39,47,49,L
5/19/2007,9,19,27,41,48,52,L
5/23/2007,5,9,25,31,50,53,L
5/26/2007,4,7,12,30,41,46,L
5/30/2007,6,9,11,44,45,52,L
6/2/2007,28,31,36,39,42,44,L
6/6/2007,3,15,19,22,47,53,L
6/9/2007,12,14,28,32,41,42,L
6/13/2007,8,15,26,28,29,32,L
6/16/2007,7,10,13,16,22,24,L
6/20/2007,6,31,34,44,45,49,L
6/23/2007,4,8,21,22,44,49,L
6/27/2007,8,13,14,32,43,48,L
6/30/2007,4,6,21,38,45,53,L
7/4/2007,12,31,34,37,48,52,L
7/7/2007,16,26,32,41,46,49,L
7/11/2007,7,19,29,30,36,50,L
7/14/2007,11,14,25,37,40,41,L
7/18/2007,18,24,27,32,38,46,L
7/21/2007,6,8,35,37,49,53,L
7/25/2007,1,20,37,42,44,45,L
7/28/2007,8,12,13,24,27,41,L
8/1/2007,1,12,14,27,38,42,L
8/4/2007,12,18,31,33,43,46,L
8/8/2007,3,4,10,29,30,38,L
8/11/2007,3,11,22,23,24,51,L
8/15/2007,7,8,37,49,51,53,L
8/18/2007,4,11,22,44,45,47,L
8/22/2007,22,31,32,36,48,51,L
8/25/2007,4,8,22,26,32,49,L
8/29/2007,1,2,15,16,42,44,L
9/1/2007,4,5,16,25,27,37,L
9/5/2007,3,12,18,19,24,45,L
9/8/2007,6,10,18,23,27,34,L
9/12/2007,10,21,22,37,42,49,L
9/15/2007,3,6,25,28,33,37,L
9/19/2007,19,23,28,34,35,46,L
9/22/2007,1,5,10,21,27,38,L
9/26/2007,7,9,12,14,41,44,L
9/29/2007,11,17,26,29,47,48,L
10/3/2007,5,14,17,28,36,39,L
10/6/2007,14,33,34,35,38,46,L
10/10/2007,10,11,18,28,37,50,L
10/13/2007,5,14,25,30,33,46,L
10/17/2007,6,31,32,41,44,47,L
10/20/2007,2,15,21,32,45,53,L
10/24/2007,8,29,30,41,42,46,L
10/27/2007,13,20,33,38,41,45,L
10/31/2007,8,13,16,17,40,46,L
11/3/2007,4,7,25,33,46,48,L
11/7/2007,3,25,35,41,46,53,L
11/10/2007,3,20,28,29,44,51,L
11/14/2007,7,10,15,20,22,38,L
11/17/2007,19,23,34,35,41,48,L
11/21/2007,4,5,13,31,47,50,L
11/24/2007,5,21,23,30,31,42,L
11/28/2007,6,23,35,36,38,50,L
12/1/2007,16,17,19,36,42,44,L
12/5/2007,2,28,35,37,50,51,L
12/8/2007,14,15,33,37,43,52,L
12/12/2007,9,27,31,38,41,43,L
12/15/2007,11,31,38,40,41,47,L
12/19/2007,7,13,16,28,38,47,L
12/22/2007,2,12,32,36,40,43,L
12/26/2007,6,15,23,32,33,38,L
12/29/2007,5,13,27,34,42,46,L
1/2/2008,7,16,27,39,47,53,L
1/5/2008,2,9,23,27,42,47,L
1/9/2008,1,21,27,31,34,52,L
1/12/2008,12,15,20,26,28,39,L
1/16/2008,4,11,29,39,47,51,L
1/19/2008,1,12,19,35,37,48,L
1/23/2008,4,25,33,40,41,45,L
1/26/2008,4,6,7,15,18,52,L
1/30/2008,13,16,28,30,38,50,L
2/2/2008,1,17,37,40,41,45,L
2/6/2008,20,21,36,42,48,53,L
2/9/2008,1,10,24,27,44,47,L
2/13/2008,2,20,25,26,28,30,L
2/16/2008,4,12,18,20,33,49,L
2/20/2008,10,12,20,25,28,39,L
2/23/2008,17,18,23,29,34,51,L
2/27/2008,6,9,18,29,52,53,L
3/1/2008,2,20,23,33,43,50,L
3/5/2008,4,10,20,27,34,52,L
3/8/2008,2,13,16,26,48,51,L
3/12/2008,22,29,31,36,46,51,L
3/15/2008,16,20,22,32,44,51,L
3/19/2008,23,25,27,28,33,44,L
3/22/2008,1,7,8,11,13,51,L
3/26/2008,6,10,26,37,46,50,L
3/29/2008,9,17,20,29,41,49,L
4/2/2008,1,4,11,24,42,53,L
4/5/2008,10,15,25,35,47,53,L
4/9/2008,19,22,23,32,36,47,L
4/12/2008,10,23,25,30,37,39,L
4/16/2008,1,33,34,40,41,53,L
4/19/2008,13,23,31,33,35,38,L
4/23/2008,4,10,19,34,38,45,L
4/26/2008,3,11,29,36,38,48,L
4/30/2008,6,11,29,30,41,48,L
5/3/2008,1,13,23,26,41,47,L
5/7/2008,2,14,15,25,46,52,L
5/10/2008,11,15,22,23,25,42,L
5/14/2008,9,17,30,36,45,49,L
5/17/2008,7,8,40,41,44,45,L
5/21/2008,12,13,17,22,41,53,L
5/24/2008,19,30,36,41,44,52,L
5/28/2008,1,14,17,32,40,46,L
5/31/2008,3,14,18,27,28,47,L
6/4/2008,4,6,8,22,37,40,L
6/7/2008,1,24,25,26,42,45,L
6/11/2008,24,41,42,46,47,52,L
6/14/2008,7,18,19,26,32,33,L
6/18/2008,5,6,17,23,26,38,L
6/21/2008,8,29,40,42,43,45,L
6/25/2008,7,9,21,22,44,47,L
6/28/2008,15,18,19,36,42,48,L
7/2/2008,8,9,10,29,38,53,L
7/5/2008,9,18,19,20,43,46,L
7/9/2008,18,20,27,38,48,51,L
7/12/2008,4,12,31,33,37,44,L
7/16/2008,1,10,20,23,41,51,L
7/19/2008,9,14,19,29,44,51,L
7/23/2008,8,9,10,29,37,47,L
7/26/2008,6,17,40,49,51,52,L
7/30/2008,3,6,9,14,29,46,L
8/2/2008,5,18,20,27,42,53,L
8/6/2008,7,9,22,23,27,43,L
8/9/2008,1,6,9,12,38,49,L
8/13/2008,5,7,13,26,27,52,L
8/16/2008,2,12,16,25,35,47,L
8/20/2008,2,11,12,39,42,43,L
8/23/2008,6,10,22,44,46,48,L
8/27/2008,2,9,30,34,39,53,L
8/30/2008,6,12,22,23,49,51,L
9/3/2008,4,6,9,22,30,53,L
9/6/2008,11,23,24,26,44,45,L
9/10/2008,4,14,22,44,50,52,L
9/13/2008,21,22,33,34,38,52,L
9/17/2008,4,8,37,41,43,48,L
9/20/2008,2,17,24,26,48,51,L
9/24/2008,5,8,16,20,28,51,L
9/27/2008,28,31,32,45,48,49,L
10/1/2008,11,23,33,39,40,49,L
10/4/2008,1,2,6,24,26,51,L
10/8/2008,7,18,20,27,37,51,L
10/11/2008,4,8,17,22,25,35,L
10/15/2008,7,12,17,19,42,53,L
10/18/2008,13,19,20,31,38,49,L
10/22/2008,4,6,26,27,33,45,L
10/25/2008,14,34,36,39,49,53,L
10/29/2008,4,8,11,15,46,53,L
11/1/2008,4,17,29,44,46,47,L
11/5/2008,12,13,36,38,44,51,L
11/8/2008,5,8,21,33,41,50,L
11/12/2008,7,11,20,30,45,53,L
11/15/2008,4,19,26,29,39,50,L
11/19/2008,1,6,10,38,46,49,L
11/22/2008,16,17,22,28,45,50,L
11/26/2008,4,19,29,32,44,49,L
11/29/2008,3,12,24,27,42,43,L
12/3/2008,18,27,33,34,36,42,L
12/6/2008,8,29,38,39,49,50,L
12/10/2008,13,15,21,41,42,44,L
12/13/2008,10,28,33,34,36,51,L
12/17/2008,3,6,18,24,31,36,L
12/20/2008,2,11,21,23,31,33,L
12/24/2008,7,12,27,29,42,45,L
12/27/2008,15,31,32,33,38,49,L
12/31/2008,1,9,10,21,33,35,L
1/3/2009,2,4,8,10,30,33,L
1/7/2009,2,5,13,28,31,41,L
1/10/2009,6,12,14,30,40,41,L
1/14/2009,8,17,24,34,40,41,L
1/17/2009,6,20,25,31,32,45,L
1/21/2009,23,28,30,40,43,47,L
1/24/2009,16,36,39,41,45,50,L
1/28/2009,7,10,12,27,35,51,L
1/31/2009,1,17,20,31,32,37,L
2/4/2009,2,9,11,17,23,49,L
2/7/2009,20,28,29,39,43,49,L
2/11/2009,4,8,13,36,37,39,L
2/14/2009,8,12,19,26,34,45,L
2/18/2009,8,10,11,14,23,36,L
2/21/2009,18,25,31,41,44,47,L
2/25/2009,11,19,43,44,47,53,L
2/28/2009,6,9,16,31,32,42,L
3/4/2009,1,5,8,36,37,44,L
3/7/2009,2,14,27,31,43,53,L
3/11/2009,7,16,17,34,44,47,L
3/14/2009,5,6,9,25,39,41,L
3/18/2009,8,14,22,26,33,51,L
3/21/2009,2,22,26,44,46,47,L
3/25/2009,2,6,11,18,38,48,L
3/28/2009,2,6,25,31,37,50,L
4/1/2009,5,16,18,19,20,37,L
4/4/2009,8,16,31,37,45,48,L
4/8/2009,5,7,31,39,44,45,L
4/11/2009,13,17,42,48,49,50,L
4/15/2009,3,32,34,39,44,51,L
4/18/2009,28,32,37,45,49,52,L
4/22/2009,6,9,18,36,46,53,L
4/25/2009,19,25,26,32,37,45,L
4/29/2009,1,3,9,11,22,26,L
5/2/2009,3,4,22,42,45,47,L
5/6/2009,11,13,14,15,16,34,L
5/9/2009,16,29,31,37,41,53,L
5/13/2009,5,11,12,31,37,46,L
5/16/2009,4,27,28,33,42,44,L
5/20/2009,16,36,37,41,45,46,L
5/23/2009,22,25,26,38,41,49,L
5/27/2009,6,9,19,27,28,50,L
5/30/2009,11,31,34,36,43,49,L
6/3/2009,5,16,26,29,41,48,L
6/6/2009,6,24,26,28,31,50,L
6/10/2009,18,21,23,35,45,52,L
6/13/2009,9,14,25,28,33,40,L
6/17/2009,18,38,41,43,50,53,L
6/20/2009,4,23,29,38,45,52,L
6/24/2009,3,15,19,24,37,51,L
6/27/2009,6,9,11,14,29,36,L
7/1/2009,13,23,30,38,40,53,L
7/4/2009,2,5,6,18,37,42,L
7/8/2009,4,19,23,40,44,50,L
7/11/2009,13,16,19,20,27,33,L
7/15/2009,1,4,24,37,44,46,L
7/18/2009,1,25,27,28,39,48,L
7/22/2009,4,10,11,17,18,29,L
7/25/2009,4,9,10,22,30,50,L
7/29/2009,6,7,12,20,24,36,L
8/1/2009,19,21,34,38,44,53,L
8/5/2009,19,20,28,36,45,49,L
8/8/2009,5,8,21,27,50,51,L
8/12/2009,8,11,19,25,46,52,L
8/15/2009,18,19,20,41,50,51,L
8/19/2009,14,16,17,19,43,45,L
8/22/2009,5,21,32,33,39,48,L
8/26/2009,3,22,32,35,43,48,L
8/29/2009,4,18,29,30,40,53,L
9/2/2009,3,14,28,32,34,35,L
9/5/2009,11,14,15,37,44,51,L
9/9/2009,8,18,28,31,33,46,L
9/12/2009,13,18,29,31,35,43,L
9/16/2009,5,23,30,35,46,50,L
9/19/2009,7,15,17,29,35,45,L
9/23/2009,25,27,29,32,47,52,L
9/26/2009,7,8,30,34,35,38,L
9/30/2009,17,22,29,42,46,52,L
10/3/2009,8,17,18,21,32,42,L
10/7/2009,6,36,37,41,48,50,L
10/10/2009,7,21,23,27,36,43,L
10/10/2020,3,4,12,26,40,45,L
10/14/2020,2,10,27,31,34,42,L
10/17/2020,2,5,36,38,39,53,L
10/21/2020,3,13,14,15,33,34,L
10/24/2020,12,15,32,35,41,53,L
10/28/2020,19,20,36,39,40,47,L
10/31/2020,3,27,29,35,44,50,L
11/4/2020,5,7,9,16,47,52,L
11/7/2020,14,16,29,33,40,46,L
11/11/2020,5,18,21,22,45,51,L
11/14/2020,15,29,30,38,41,53,L
11/18/2020,2,38,42,45,47,50,L
11/21/2020,5,21,30,32,48,52,L
11/25/2020,16,20,29,42,43,48,L
11/28/2020,2,4,8,11,26,32,L
12/2/2020,2,7,24,34,43,47,L
12/5/2020,14,27,32,39,44,53,L
12/9/2020,1,3,10,16,20,45,L
12/12/2020,9,12,39,45,49,51,L
12/16/2020,2,7,17,25,44,53,L
12/19/2020,2,8,35,37,40,53,L
12/23/2020,1,25,29,31,32,47,L
12/26/2020,6,16,25,30,35,50,L
12/30/2020,12,13,21,39,41,46,L
1/2/2021,12,14,19,31,50,52,L
1/6/2021,8,22,35,41,43,52,L
1/9/2021,5,14,34,35,36,44,L
1/13/2021,2,9,15,20,25,46,L
1/16/2021,14,29,40,49,50,52,L
1/20/2021,11,38,39,40,51,52,L
1/23/2021,4,28,32,33,40,53,L
1/27/2021,1,12,17,22,25,45,L
1/30/2021,1,7,15,27,39,47,L
2/3/2021,3,6,24,29,47,49,L
2/6/2021,3,4,6,16,25,44,L
2/10/2021,3,4,25,29,34,44,L
2/13/2021,4,5,18,27,30,37,L
2/17/2021,2,5,28,31,39,46,L
2/20/2021,3,4,11,16,19,33,L
2/24/2021,11,22,40,47,48,50,L
2/27/2021,8,9,19,33,36,39,L
3/3/2021,18,22,23,24,35,41,L
3/6/2021,2,19,32,36,50,52,L
3/10/2021,7,14,31,36,38,49,L
3/13/2021,3,7,11,20,36,47,L
3/17/2021,7,16,17,28,32,41,L
3/20/2021,20,21,32,34,41,47,L
3/24/2021,3,10,25,33,37,44,L
3/27/2021,9,17,25,29,52,53,L
3/31/2021,9,21,34,35,37,43,L
4/3/2021,2,12,16,27,31,36,L
4/7/2021,3,19,24,30,42,44,L
4/10/2021,6,9,15,18,45,53,L
4/14/2021,3,17,31,34,39,52,L
4/17/2021,2,7,10,11,31,33,L
4/21/2021,6,11,21,28,39,51,L
4/24/2021,10,19,28,36,37,52,L
4/28/2021,7,9,40,43,47,49,L
5/1/2021,10,13,21,22,28,38,L
5/5/2021,7,25,27,41,51,53,L
5/8/2021,9,20,26,29,34,51,L
5/12/2021,7,10,11,13,47,48,L
5/15/2021,9,11,15,29,33,51,L
5/19/2021,10,12,23,31,33,51,L
5/22/2021,12,15,18,24,52,53,L
5/26/2021,4,6,16,25,28,52,L
5/29/2021,21,27,35,41,49,52,L
6/2/2021,15,20,23,37,43,52,L
6/5/2021,9,15,18,19,25,30,L
6/9/2021,9,10,11,18,34,46,L
6/12/2021,8,11,22,46,47,48,L
